Barcode_ID,Proportion of heterozygous loci
J0010103_1412,0.0120481927710843
J0010107_1511,0
J0010112_1511,0.115384615384615
J0010118_1506,0.119047619047619
J0010120_1412,0.166666666666667
J0010129_1412,0
J0020202_1412,0
J0020208_1412,0.0833333333333333
J0020301_1412,0.153846153846154
J0020302_1506,0
J0020310_1512,0
J0020313_1412,0
J0020322_1511,0.0697674418604651
J0030406_1701,0
J0030406_1702,0.0112359550561798
J0030406_1704,0
J0030406_1705,0
J0030407_1512,0
J0030409_1610,0
J0030417_1412,0.075
J0040504_1511,0
J0050605_1511,0
J0050607_1412,0
J0050611_1611,0
J0050616_1512,0
J0050617_1611,0.0449438202247191
J0050618_1610,0
J0060701_1511,0.125
J0070804_1610,0.0163934426229508
J0080906_1511,0
J0091005_1603,0
J0101103_1701,0
J0101103_1702,0
J0101103_1703,0
J0101103_1704,0
J0101103_1705,0.06
J0111208_1610,0
J0111209_1412,0
J0111211_1412,0
J0121309_1412,0
J0131403_1511,0
J0131404_1511,0
J0131406_1512,0
J0141503_1511,0.146067415730337
J0141506_1506,0
J0141506_1511,0.207792207792208
J0141509_1412,0
J0151608_1701,0
J0151608_1703,0
J0151608_1704,0.314814814814815
J0151609_1512,0
J0151612_1511,0.348314606741573
J0151616_1412,0
J0161702_1603,0.1875
J0161708_1412,0
J0161711_1603,0
J0171802_1611,0.0224719101123595
J0171803_1511,0
J0171804_1412,0.2
J0171804_1610,0
J0171805_1611,0.0909090909090909
J0171806_1511,0
J0181907_1412,0.0212765957446809
J0181910_1511,0
J0181911_1611,0.0681818181818182
J0181912_1412,0.0615384615384615
J0202107_1412,0
J0212203_1412,0.172839506172839
J0222301_1511,0
J0222302_1701,0
J0222306_1412,0
J0232404_1511,0
J0232410_1511,0.123076923076923
J0242509_1611,0
J0242517_1611,0.0434782608695652
J0242520_1412,0
J0252609_1412,0
J0252610_1611,0.0238095238095238
J0252620_1511,0.06
J0262707_1412,0
J0262707_1506,0
J0262710_1511,0
J0262712_1412,0
J0262723_1511,0
J0262731_1412,0.0344827586206897
J0262739_1412,0.142857142857143
J0262744_1611,0
J0272802_1412,0
J0272803_1512,0.415730337078652
J0272804_1511,0
J0272805_1412,0
J0272809_1611,0
J0272809_1612,0.0224719101123595
J0272810_1506,0
J0272812_1611,0.0561797752808989
J0272813_1610,0
J0272813_1611,0
J0272813_1612,0
J0272813_1701,0
J0272813_1702,0
J0272813_1703,0
J0272813_1704,0
J0272813_1705,0
J0272815_1611,0
J0272815_1701,0
J0272815_1702,0
J0272815_1703,0
J0272815_1704,0.232142857142857
J0272815_1705,0.0350877192982456
J0282915_1511,0
J0282916_1701,0.136363636363636
J0282916_1702,0
J0282916_1703,0
J0282916_1704,0
J0282916_1705,0
K0010101_1611,0
K0010105_1412,0.223684210526316
K0010105_1504,0
K0010105_1506,0
K0010105_1607,0
K0020203_1511,0
K0020204_1512,0
K0022008_1512,0.159090909090909
K0030301_1504,0.0116279069767442
K0030302_1511,0
K0030302_1512,0
K0030302_1610,0
K0030302_1611,0.159090909090909
K0030302_1612,0
K0030303_1511,0
K0030303_1512,0.159090909090909
K0030303_1603,0.15
K0030303_1605,0.0114942528735632
K0030303_1607,0
K0030303_1612,0
K0030305_1511,0
K0050502_1512,0.0175438596491228
K0050508_1603,0
K0050512_1611,0
K0050516_1511,0
K0060609_1511,0.0447761194029851
K0060609_1605,0
K0060614_1511,0
K0060617_1511,0.150684931506849
K0060617_1512,0.280898876404494
K0060617_1603,0
K0060617_1605,0.302631578947368
K0060617_1607,0
K0070713_1610,0
K0070714_1611,0
K0080809_1612,0
K0080809_1702,0
K0090903_1511,0.111111111111111
K0090903_1512,0.0674157303370786
K0090903_1603,0.125
K0090903_1605,0
K0090903_1607,0
K0090903_1610,0
K0090905_1607,0
K0090906_1504,0.268292682926829
K0090906_1506,0
K0101005_1512,0
K0101005_1702,0
K0101007_1412,0.0114942528735632
K0111111_1611,0
K0141403_1504,0
K0141403_1506,0
K0141403_1511,0
K0141403_1512,0
K0141404_1511,0.0704225352112676
K0151503_1412,0.172839506172839
K0151508_1612,0
K0151509_1610,0
K0151511_1610,0
K0151512_1412,0
K0161621_1506,0
K0171707_1412,0.25
K0171716_1612,0
K0171716_1701,0
K0171716_1702,0
K0171716_1703,0
K0171719_1701,0
K0171719_1705,0.211538461538462
K0171722_1512,0
K0171723_1412,0.183333333333333
K0171724_1611,0
K0171728_1512,0
K0171728_1605,0
K0171730_1603,0.0625
K0171732_1511,0
K0171732_1512,0
K0171732_1612,0
K0171738_1412,0
K0171742_1612,0.0784313725490196
K0171742_1701,0
K0181809_1512,0.0113636363636364
K0181810_1412,0.211267605633803
K0181810_1612,0
